word,definition,translation
Babes' stain,,[医] 巴贝斯氏染剂
Babes' treatment,,[医] 巴贝斯氏疗法(治狂犬病)
Babes' tubercles,,[医] 巴贝斯氏结节(狂犬病结节)
Babes's tubercles,,[医] 巴贝斯氏结节(狂犬病结节)
Babes-Ernst bodies,,"[医] 巴-恩二氏极小体, 异染[颗]粒"
Babes-Ernst corpuscles,,"[医] 巴-恩二氏小体, 异染(颗)粒"
Babes-Ernst granules,,"[医] 巴-恩二氏小体, 异染[颗]粒"
babesia,,n. 巴贝西虫
Babesia bigemina,,"[医] 二联巴贝虫, 二联梨浆虫"
Babesia bovis,,"[医] 牛巴贝虫, 牛梨浆虫"
Babesia canis,,"[医] 犬巴贝虫, 犬梨浆虫"
Babesia equi,,"[医] 马巴贝虫, 马梨浆虫"
Babesia hominis,,"[医] 人巴贝虫, 人梨浆虫"
babesiasis,,n. [兽医](巴倍)焦虫病
Babesiella,,"[医] 巴贝虫属, 梨浆虫属"
Babesiidae,n. piroplasms and cattle pathogens,巴倍科
babesiosis,,n. 巴贝西虫病
babette,,"n. 芭贝特（Elizabeth 的法语形式昵称, 女子名）"
babey,, [人名] 巴比
babi,,n. 泛神教义；波斯神的信徒（等于Babism）
babiarz,, [人名] 巴比亚尔兹
babic,,n. (Babic)人名；(法、罗)巴比克
babiche,,n. <加拿大>(以兽皮或兽筋制成用来编织雪鞋、捕兽网等的) 皮条
babied,imp. & p. p. of Baby,"vt. 把…当作婴孩看待, 娇养（baby的过去式与过去分词形式）"
babies,n a very young child (birth to 1 year) who has not yet begun to walk or talk\nn the youngest member of a group (not necessarily young)\nn an immature childish person\nn an unborn child; a human fetus\nn (slang) sometimes used as a term of address for attractive young women\nn a very young mammal\nn a project of personal concern to someone\nv treat with excessive indulgence,n. 婴儿（baby的复数）
babies' slippers,,[网络] 婴儿拖鞋
babies'-breath,,n. 小香花菜
babiesbreath,,n. 石竹科植物一种
babil,,n. (Babil)人名；(土)巴比尔；(阿拉伯)巴比勒
